nom_Person	categorie	nb_Production	aver_Note	sum_numVotes
Christopher Nolan	director	31	8.5	39552622
Steven Spielberg	director	98	7.8	35034454
Quentin Tarantino	director	50	8.2	26459431
Martin Scorsese	director	89	8.1	24358540
Ridley Scott	director	81	7.6	23544370
Peter Jackson	director	46	8.4	23129594
David Fincher	director	30	8.0	19653703
Robert Zemeckis	director	66	7.9	18469052
Tim Burton	director	55	7.1	14890158
James Cameron	director	34	8.1	14327850
Bryan Singer	director	39	7.6	14019159
Michael Bay	director	44	6.5	13320724
Joel Coen	director	53	7.7	12773778
Zack Snyder	director	32	7.0	12521259
Ethan Coen	director	50	7.7	12447811
Joe Russo	director	25	8.0	12266372
Anthony Russo	director	24	8.0	12266135
Ron Howard	director	136	7.2	12040020
Guy Ritchie	director	39	7.5	11831290
Lee Unkrich	director	15	8.2	11677950
George Lucas	director	18	7.5	11398064
Francis Ford Coppola	director	73	8.5	11298921
David Yates	director	31	7.5	10977941
M. Night Shyamalan	director	41	6.8	10701198
Gore Verbinski	director	26	7.4	10600925
Stanley Kubrick	director	33	8.2	10582781
Sam Raimi	director	45	7.0	10249840
Denis Villeneuve	director	28	7.9	10221989
Alfred Hitchcock	director	135	8.0	9964687
J.J. Abrams	director	19	7.4	9585166
Jon Favreau	director	58	7.2	9068700
Chris Columbus	director	43	7.1	9066020
Andrew Stanton	director	15	7.9	9044706
Pete Docter	director	13	8.2	9022732
Guillermo del Toro	director	39	7.2	8757214
Matthew Vaughn	director	21	7.5	8620032
Robert Rodriguez	director	67	6.9	8601219
Francis Lawrence	director	25	7.0	8579633
Lana Wachowski	director	21	7.6	8568663
James Wan	director	31	7.1	8488526
Luc Besson	director	49	7.5	8474622
Sam Mendes	director	29	7.7	8357544
Hayao Miyazaki	director	36	8.2	8237484
Danny Boyle	director	44	7.5	8202483
James Mangold	director	29	7.6	8178957
Lilly Wachowski	director	17	7.7	8059599
Brad Bird	director	18	7.8	7982217
Todd Phillips	director	25	7.5	7904520
Steven Soderbergh	director	86	6.9	7875120
Joss Whedon	director	13	7.7	7724523
Wes Anderson	director	29	7.7	7687379
Frank Darabont	director	12	8.6	7663724
Antoine Fuqua	director	53	7.0	7650545
John Lasseter	director	16	7.7	7488372
Doug Liman	director	37	7.2	7428903
Edgar Wright	director	30	7.6	7421079
Tony Scott	director	45	7.0	7354302
James Gunn	director	22	7.7	7161486
Rian Johnson	director	18	7.4	6848913
Clint Eastwood	director	173	7.4	6841450
Brian De Palma	director	77	7.4	6778011
Louis Leterrier	director	24	6.7	6515514
Alfonso Cuarón	director	21	7.8	6420314
Michael Mann	director	42	7.5	6371367
Shawn Levy	director	48	6.5	6359755
Paul Greengrass	director	41	7.6	6357544
John McTiernan	director	32	7.5	6326055
Richard Donner	director	74	7.1	6309613
Joe Johnston	director	36	6.7	6250455
George Miller	director	88	7.4	6038713
Roman Polanski	director	64	7.9	5915826
Brett Ratner	director	36	6.6	5876210
Jon Watts	director	17	7.7	5859979
Darren Aronofsky	director	18	7.4	5736534
Matt Reeves	director	20	7.5	5665485
David Ayer	director	24	6.7	5661699
Marc Forster	director	29	7.0	5642813
Barry Sonnenfeld	director	40	6.6	5596617
Edward Zwick	director	40	7.4	5551817
Martin Campbell	director	50	7.0	5523324
Oliver Stone	director	60	7.1	5476715
David Leitch	director	17	7.3	5464871
Rob Reiner	director	73	7.6	5454808
